frame_idx	x	y	vel_x	vel_y
1	36.205	1511.2	-2.81	28.49
1	40.536	1539.3	-0.2	25.48
1	6.547	1533.2	-0.07	35
1	29.793	1535.3	-0.08	45.01
1	41.668	1449.5	0.1	29.88
1	19.909	1476.7	-0.09	45.14
1	7.341	1421.6	0.29	39.6
1	53.282	1540.8	-0.1	50
1	51.688	1455.6	0.15	45.83
1	52.716	1388.5	0.15	44.98
1	29.909	1371.6	0.14	40
1	19.373	1360.6	0.15	45.04
2	34.803	1525.4	-2.8	28.33
2	41.683	1464.8	-0.05	30.13
2	19.848	1498.8	-0.26	43.7
2	7.387	1440.2	-0.04	35.4
2	51.656	1478.3	-0.09	45
2	52.791	1411	0.14	44.99
2	29.975	1391.6	0.13	40
2	19.447	1383.1	0.14	45
2	40.868	1359.1	0.12	35.01
2	55.118	1364	-0.02	43.89
3	33.446	1541.4	-2.24	36.63
3	41.652	1479.8	-0.07	30.04
3	19.971	1521.2	1.32	45.01
3	7.445	1457.7	0.12	35.12
3	51.611	1500.8	-0.09	45
3	52.866	1433.5	0.15	45
3	30.042	1411.6	0.14	40
3	19.523	1405.6	0.16	45.01
3	6.387	1365.2	0.13	40.16
3	40.863	1376.8	-0.1	36.91
3	55.226	1386.2	0.16	42.92
4	41.514	1494.6	-0.84	29.21
4	20.276	1543.7	-0.09	44.98
4	7.412	1475.2	-0.07	35
4	51.567	1523.3	-0.09	45
4	52.941	1456.1	0.16	45.85
4	30.109	1431.6	0.14	40
4	19.597	1428.1	0.15	45
4	6.453	1385.2	0.13	40
4	18.395	1367.1	0.16	45
4	40.993	1396.6	0.14	40.05
4	28.734	1374.9	0.62	43.33
4	55.275	1406.5	0.13	39.85
5	41.357	1510.3	-0.31	32.06
5	7.377	1492.7	-0.07	35
5	51.522	1545.8	-0.09	45.14
5	52.906	1478.8	-0.08	45
5	30.175	1451.6	0.14	40.14
5	19.671	1450.6	0.14	45.05
5	6.519	1405.2	-0.17	40.18
5	18.468	1389.6	0.14	45
5	41.059	1416.6	0.13	40.05
5	28.737	1395.1	0.13	39.96
5	7.121	1360.2	0.12	40
5	42.156	1370.6	0.12	35
5	55.341	1426.4	0.13	39.21
6	41.201	1526.3	-0.3	32.01
6	7.342	1510.2	-0.08	35
6	52.861	1501.3	-0.09	45
6	30.035	1471.7	-0.9	40.36
6	19.665	1473.2	-0.1	44.98
6	4.871	1424.6	-3.47	36.48
6	18.543	1412.1	0.15	45
6	41.164	1436	-0.11	36.91
6	28.804	1415.1	0.14	40
6	7.188	1380.2	0.14	40
6	42.214	1388.1	0.11	35
6	55.408	1446.5	0.13	39.93
7	41.044	1542.3	-0.31	31.98
7	7.308	1527.7	-0.07	35
7	52.817	1523.8	-0.09	45.14
7	30.015	1493.6	-0.08	44.58
7	19.64	1495.4	-0.07	42.93
7	5.009	1444.1	3.03	40.51
7	18.618	1434.6	0.15	45.13
7	41.181	1453.6	0.11	35.18
7	28.871	1435.1	0.14	40
7	42.857	1355.9	0.1	32.52
7	7.254	1400.2	0.13	40
7	19.613	1355.8	0.2	41.7
7	42.272	1405.6	0.12	35
7	55.427	1467.3	-0.25	40.7
8	7.274	1545.2	-0.06	35
8	52.773	1545.8	-0.09	43.74
8	29.971	1515.8	-0.1	44.5
8	19.582	1515.7	-0.07	39.86
8	7.005	1462.2	3.13	35.11
8	18.692	1456.7	0.15	44.08
8	41.189	1470.9	-0.05	32.8
8	28.937	1455.1	0.14	40.46
8	42.912	1372.4	0.11	33.47
8	7.321	1420.2	0.13	40
8	19.657	1376.5	0.12	41.95
8	42.33	1423.1	0.11	35.13
8	54.64	1366	0.16	50
8	7.669	1362.6	-0.88	35.76
8	55.388	1487.3	-0.08	40
8	30.925	1376.1	0.16	45
9	29.928	1538.1	-0.08	44.48
9	19.542	1535.7	-0.08	40
9	7.152	1479.7	-0.08	35.02
9	18.656	1478.1	-0.08	41.52
9	41.14	1486.3	-0.07	29.87
9	28.913	1475.2	-0.07	39.99
