frame_idx	x	y	vel_x	vel_y
1	21.42	50.1	-13.2	0.6
1	40.87	49.24	-10.9	0.5
1	57.04	46.65	-6.8	4.6
1	59.22	34.3	0.4	7.1
1	58.74	24.43	0.1	3.9
2	14.64	50.4	-14	0.6
2	35.19	49.49	-12	0.5
2	53.39	48.35	-7.9	1.5
2	59.4	37.94	0.4	7.4
2	58.84	26.55	0.2	4.8
3	7.66	50.71	-13.9	0.6
3	29	49.76	-13	0.6
3	49.3	48.87	-8.8	0.4
3	59.31	41.32	-0.6	6.5
3	58.97	29.13	0.2	5.5
4	22.31	50.06	-14	0.6
4	44.71	49.07	-9.7	0.4
4	58.56	44.49	-3.2	5.8
4	59.11	32.01	0.3	5.9
4	58.68	23.22	0.1	3.5
5	15.18	50.37	-14.8	0.7
5	39.67	49.29	-10.7	0.5
5	56.56	46.98	-5.5	3.6
5	59.25	34.98	0.3	6
5	58.77	25.12	0.2	4.2
6	7.71	50.7	-14.9	0.7
6	34.17	49.54	-11.5	0.5
6	53.61	48.31	-6.5	1.3
6	59.4	38.03	0.4	6.4
6	58.88	27.33	0.2	4.7
7	28.17	49.8	-12.6	0.6
7	50.34	48.82	-7	0.3
7	59.31	41.31	-0.5	5.9
7	59	29.87	0.3	5.1
7	58.63	22.28	0.1	2.5
8	21.69	50.09	-13.5	0.6
8	46.64	48.99	-8	0.3
8	58.61	44.4	-3.4	6.3
8	59.13	32.49	0.3	5.8
8	58.69	23.58	0.2	3.1
9	14.74	50.39	-14.2	0.7
9	42.45	49.17	-9	0.4
9	56.28	47.16	-6.5	4.3
9	59.28	35.53	0.3	6.6
9	58.78	25.29	0.2	3.9
10	7.62	50.71	-14.3	0.6
10	37.78	49.38	-9.9	0.4
10	52.51	48.52	-8.1	1.5
10	59.45	39.01	0.2	7
10	58.88	27.44	0.3	4.9
11	32.66	49.6	-10.7	0.5
11	48.3	48.91	-9	0.4
11	59.22	42.28	-0.6	6.6
11	59.01	30.04	0.3	5.6
11	58.63	22.28	0.1	2.6
12	27.09	49.85	-11.4	0.5
12	43.56	49.12	-10.1	0.5
12	58.03	45.46	-3.3	6.2
12	59.16	33	0.3	6.2
12	58.7	23.76	0.2	3.4
13	21.35	50.1	-11.5	0.5
13	38.33	49.35	-10.8	0.5
13	55.45	47.71	-6	3.7
13	59.31	36.15	0.3	6.3
13	58.8	25.69	0.2	4.4
14	15.62	50.35	-11.5	0.5
14	32.9	49.59	-10.8	0.5
14	52.09	48.6	-6.8	1.3
14	59.48	39.49	-0.6	7.1
14	58.92	28.11	0.2	5.4
15	9.9	50.61	-11.5	0.5
15	27.44	49.83	-11	0.5
15	48.47	48.9	-7.8	0.4
15	59.17	42.8	-0.7	6.9
15	59.05	30.83	0.3	5.6
15	58.64	22.54	0.2	2.8
16	4.15	50.86	-11.5	0.5
16	21.92	50.08	-11.1	0.5
16	44.36	49.09	-8.8	0.3
16	57.7	46.08	-5.3	4.9
16	59.2	33.82	0.3	6.3
16	58.72	24.12	0.2	3.8
17	16.34	50.32	-11.5	0.5
17	39.78	49.29	-9.8	0.4
17	54.66	48.12	-7.4	1.4
17	59.36	37.07	0.3	6.6
17	58.82	26.18	0.3	4.8
18	10.37	50.59	-12.5	0.5
18	34.73	49.51	-10.7	0.5
18	51	48.79	-7.7	0.4
18	59.39	40.47	-0.6	6.4
18	58.95	28.75	0.3	5.7
19	3.94	50.87	-13.4	0.6
19	29.19	49.76	-11.7	0.5
19	46.96	48.97	-8.7	0.4
19	58.94	43.78	-3.3	6
19	59.09	31.58	0.3	5.9
19	58.67	23.06	0.1	3
20	23.18	50.02	-12.2	0.5
20	42.43	49.17	-9.7	0.4
20	57.12	46.6	-5.7	3.8
20	59.23	34.57	0.3	6.1
20	58.75	24.72	0.2	3.8
21	17.07	50.29	-12.2	0.5
21	37.43	49.39	-10.6	0.5
21	54.16	48.21	-6.6	1.2
21	59.38	37.63	0.4	6.4
21	58.85	26.8	0.3	4.8
22	10.95	50.56	-12.2	0.5
22	31.95	49.63	-11.6	0.5
22	50.81	48.8	-7	0.3
22	59.35	40.95	-0.6	6.1
22	58.98	29.4	0.3	5.5
23	4.84	50.83	-12.3	0.5
23	25.98	49.9	-12.6	0.5
23	47.11	48.96	-7.9	0.4
23	58.75	44.14	-3.4	6.2
23	59.11	32.09	0.3	5.9
23	58.68	23.3	0.1	2.9
24	19.69	50.17	-13	0.6
24	42.94	49.15	-8.9	0.4
24	56.54	46.99	-6.6	4.3
24	59.27	35.22	0.3	6.7
24	58.76	24.92	0.2	3.6
25	13.2	50.46	-13	0.6
25	38.32	49.35	-9.8	0.5
25	52.81	48.46	-8.5	1.6
25	59.44	38.73	0.4	7.5
25	58.86	26.93	0.2	4.6
